"<a href=""http://crontab.guru/"" target=""_blank"">Need help?</a>","<a href=""http://crontab.guru/"" target=""_blank"">Benötigen Sie Hilfe?</a>"
"Abandoned Orders","Abgebrochene Aufträge"
"All Allowed Countries","Alle zugelassenen Länder"
"All Allowed Currencies","Alle zulässigen Währungen"
"All Allowed Customer Groups","Alle zulässigen Kundengruppen"
"American Express","American Express"
"and perform the following steps:","und führen Sie die folgenden Schritte aus:"
"API Key","API-Schlüssel"
"API Secret","API-Geheimnis"
"Attention","Achtung"
"Authorization Mode","Autorisierungsmodus"
"Authorize & Capture","Autorisieren und erfassen"
"Authorize","Autorisieren"
"Auto cancellation of orders that are stuck in the payment review status after the specified time. The time is in minutes.","Automatische Stornierung von Aufträgen, die nach der angegebenen Zeit im Status der Zahlungsprüfung stecken bleiben. Die Zeit wird in Minuten angegeben."
"Available Credit Card Types","Verfügbare Kreditkartentypen"
"Carte Bancaire","Carte Bancaire"
"Click on ""GENERATE WEBHOOKS API KEY""","Klicken Sie auf ""WEBHOOKS-API-SCHLÜSSEL GENERIEREN""."
"Click on ""SAVE"" to confirm your settings","Klicken Sie auf ""SPEICHERN"", um Ihre Einstellungen zu bestätigen."
"Code eci: %1","eci-Code: %1"
"Connection failed! Test again?","Verbindung fehlgeschlagen! Nochmal testen?"
"Connection","Verbindung"
"Copy & Paste the WebhooksKeySecret immediately","Kopieren Sie das WebhooksKeySecret und fügen Sie es ein."
"Credit Cards (iFrame)","Kreditkarte"
"Custom Return URL","Benutzerdefinierte Return-URL"
"Debug","Debug"
"Debug","Debuggen"
"Default Order Status","Voreingestellter Auftragsstatus"
"Default value: every 5 minutes. <a href=""http://crontab.guru/"" target=""_blank"">Need help?</a>","Standardwert: Alle 5 Minuten. <a href=""http://crontab.guru/"" target=""_blank"">Benötigen Sie Hilfe?</a>"
"Diners Club","Diners Club"
"Enable Module","Modul aktivieren"
"Enable Saved Payment (Vault)","Gespeicherte Zahlung aktivieren (Tresor)"
"Enable Vault for Card Payments","Tresor für Kartenzahlungen aktivieren"
"ending","endet"
"Environment Mode","Umgebungsmodus"
"expires","läuft aus"
"Fallback Timeout Limit","Fallback-Timeout-Limit"
"Fallback Timeout","Fallback-Timeout"
"Final Authorization","Endgültige Autorisierung"
"General Information","Allgemeine Informationen"
"General","Allgemeines"
"Go to Configuration > Technical information > API settings > Webhooks Configuration","Gehen Sie zu Konfiguration > Technische Informationen > API Einstellungen > Webhooks-Konfiguration"
"Hosted Checkout (Redirect to Worldline)","Gehosteter Checkout"
"HTML Template ID","HTML-Vorlagen-ID"
"If the payment process is failed, change the order status after the specified time in ""Fallback Timeout"" till the value specified in this field.<br/>In other words, the request will be executed during the specified time limit.","Wenn das Zahlungsverfahren fehlgeschlagen ist, ändert sich der Auftragsstatus nach der in „Fallback-Timeout“ angegebenen Zeit bis zu dem in diesem Feld angegebenen Wert.<br/>Mit anderen Worten: Die Anfrage wird innerhalb des angegebenen Zeitlimits ausgeführt."
"If the payment process is failed, change the order status after the specified time.","Wenn das Zahlungsverfahren fehlgeschlagen ist, wird der Auftragsstatus nach der angegebenen Zeit geändert."
"In ""Endpoints URLs"", paste the Webhooks URL of your store - see below","Fügen Sie die Webhooks-URL Ihres Shops unter „Endpunkt-URLs“ ein – siehe unten."
"JCB","JCB"
"Key","Schlüssel"
"label","label"
"Maestro","Maestro"
"Mastercard","Mastercard"
"Maximum Order Total","Höchstbestellmenge"
"Merchant ID (PSPID)","Merchant-ID (PSPID)"
"Minimum Order Total","Mindestbestellmenge"
"No authorization transaction to proceed capture.","Keine Autorisierungstransaktion, um die Erfassung fortzusetzen."
"No payment method","Keine Zahlungsart"
"No public_hash provided","Kein public_hash bereitgestellt"
"No","Nein"
"Not AJAX","Nicht AJAX"
"Order processed successfully by webhook. WorldLine status: %1.","Bestellung erfolgreich per Webhook verarbeitet. WorldLine-Status: %1."
"Order Status Updater","Auftragsstatus-Updater"
"Payment Action","Zahlungsvorgang"
"Payment from Applicable Countries","Zahlung aus den jeweiligen Ländern"
"Payment from Applicable Currencies","Zahlung aus den jeweiligen Währungen"
"Payment from Applicable Customer Groups","Zahlung aus den jeweiligen Kundengruppen"
"Payment from Specific Countries","Zahlung aus bestimmten Ländern"
"Payment from Specific Currencies","Zahlung aus bestimmten Währungen"
"Payment from Specific Customer Groups","Zahlung aus den bestimmten Kundengruppen"
"Payment Methods","Zahlungsarten"
"Place Order","Bestellung aufgeben"
"Please correct the sent data.","Bitte korrigieren Sie die gesendeten Daten."
"Please, <a href=""%1"">click here</a> to proceed.","Bitte <a href=""%1"">klicken Sie hier</a>, um fortzufahren."
"Pre-Authorization","Vorab-Autorisierung"
"Production API URL","Produktions-API-URL"
"Production","Produktion"
"Required parameter ""worldline"" for ""payment_method"" is missing.","Der erforderliche Parameter ""worldline"" für ""payment_method"" fehlt."
