"Payment method","Payment method"
Status,Status
"Status code","Status code"
"Transaction number","Transaction number"
Total,Total
"Amount available for capture","Amount available for capture"
"Refunded amount","Refunded amount"
"Amount available for refund","Amount available for refund"
label,label
"Worldline Online Payments configuration is located under the dedicated configuration section.","Worldline Online Payments configuration is located under the dedicated configuration section."
"Please, <a href=""%1"">click here</a> to proceed.","Please, <a href=""%1"">click here</a> to proceed."
"To retrieve the webhooks credentials, login to the Worldline Back Office.","To retrieve the webhooks credentials, login to the Worldline Back Office."
"Go to Configuration > Technical information > API settings > Webhooks Configuration","Go to Configuration > Technical information > API settings > Webhooks Configuration"
"and perform the following steps:","and perform the following steps:"
"Click on ""GENERATE WEBHOOKS API KEY""","Click on ""GENERATE WEBHOOKS API KEY"""
"Copy & Paste the WebhooksKeySecret immediately","Copy & Paste the WebhooksKeySecret immediately"
"In ""Endpoints URLs"", paste the Webhooks URL of your store - see below","In ""Endpoints URLs"", paste the Webhooks URL of your store - see below"
"Click on ""SAVE"" to confirm your settings","Click on ""SAVE"" to confirm your settings"
"Webhook URL","Webhook URL"
"This URL must be specified in the worldline admin panel","This URL must be specified in the worldline admin panel"
Copy,Copy
Payment,Payment
"%1 with Worldline","%1 with Worldline"
title,title
"The credit memo's total must be positive.","The credit memo's total must be positive."
"You created the credit memo.","You created the credit memo."
"The credit memo request has been sent.","The credit memo request has been sent."
"We can't save the credit memo right now.","We can't save the credit memo right now."
"Payment details have been updated.","Payment details have been updated."
"A total of %1 record(s) have been updated.","A total of %1 record(s) have been updated."
"Something went wrong while updating log.","Something went wrong while updating log."
"Worldline Request Logs","Worldline Request Logs"
"Thank you for your order %1. Your order is still being processed and you will receive a confirmation e-mail. Please contact us in case you don't receive the confirmation within 10 minutes.","Thank you for your order %1. Your order is still being processed and you will receive a confirmation e-mail. Please contact us in case you don't receive the confirmation within 10 minutes."
"Your payment is being processed","Your payment is being processed"
"The payment has rejected, please, try again","The payment has rejected, please, try again"
"Waiting for payment confirmation","Waiting for payment confirmation"
"Sorry, but something went wrong","Sorry, but something went wrong"
"No authorization transaction to proceed capture.","No authorization transaction to proceed capture."
"""code"" value should be specified","""code"" value should be specified"
"Log error requests only","Log error requests only"
"Log all requests","Log all requests"
"Worldline payment methods require your attention.","Worldline payment methods require your attention."
"Go to <a href=""%1"">log grid</a> to see the details","Go to <a href=""%1"">log grid</a> to see the details"
"All Allowed Currencies","All Allowed Currencies"
"Specific Currencies","Specific Currencies"
"All Allowed Customer Groups","All Allowed Customer Groups"
"Specific Customer Groups","Specific Customer Groups"
"Final Authorization","Final Authorization"
Pre-Authorization,Pre-Authorization
Test,Test
Production,Production
Authorize,Authorize
"Authorize & Capture","Authorize & Capture"
"Unable to find Log with ID ""%1""","Unable to find Log with ID ""%1"""
"Cannot delete Log with id ""%1""","Cannot delete Log with id ""%1"""
"Could not save Log: %1","Could not save Log: %1"
"Could not save request to refund: %1","Could not save request to refund: %1"
"Payment details update has failed","Payment details update has failed"
"Invalid output model","Invalid output model"
"Invalid response model","Invalid response model"
"CancelPaymentApi has failed. Please contact the provider.","CancelPaymentApi has failed. Please contact the provider."
"CapturePayment request has failed","CapturePayment request has failed"
"GetPaymentDetailsApi request has failed","GetPaymentDetailsApi request has failed"
"GetPaymentProducts request has failed","GetPaymentProducts request has failed"
"GetPaymentApi request has failed. Please contact the provider.","GetPaymentApi request has failed. Please contact the provider."
