"<a href=""http://crontab.guru/"" target=""_blank"">Need help?</a>","<a href=""http://crontab.guru/"" target=""_blank"">¿Necesita ayuda?</a>"
"Abandoned Orders","Órdenes abandonadas"
"All Allowed Countries","Todos los países permitidos"
"All Allowed Currencies","Todas las monedas permitidas"
"All Allowed Customer Groups","Todos los grupos de clientes permitidos"
"American Express","American Express"
"and perform the following steps:","y realice los siguientes pasos:"
"API Key","Clave de API"
"API Secret","Secreto de la API"
"Attention","Atención"
"Authorization Mode","Modo de autorización"
"Authorize & Capture","Autorizar y capturar"
"Authorize","Autorizar"
"Auto cancellation of orders that are stuck in the payment review status after the specified time. The time is in minutes.","Cancelación automática de pedidos que están atascados en el estado de revisión de pago después del tiempo especificado. El tiempo aparece en minutos."
"Available Credit Card Types","Tipos de tarjeta de crédito disponibles"
"Carte Bancaire","Carte Bancaire"
"Click on ""GENERATE WEBHOOKS API KEY""","Haga clic en ""GENERAR CLAVE DE API DE GANCHOS WEB"""
"Click on ""SAVE"" to confirm your settings","Haga clic en ""GUARDAR"" para confirmar su configuración"
"Code eci: %1","Código eci: %1"
"Connection failed! Test again?","Error de conexión ¿Desea hacer la prueba nuevamente?"
"Connection","Conexión"
"Copy & Paste the WebhooksKeySecret immediately","Inmediatamente copie y pegue WebhooksKeySecret"
"Credit Cards (iFrame)","Tarjeta de crédito"
"Custom Return URL","URL de devolución personalizada"
"Debug","Depurar"
"Debug","Depurar"
"Default Order Status","Estado de pedido predeterminado"
"Default value: every 5 minutes. <a href=""http://crontab.guru/"" target=""_blank"">Need help?</a>","Valor predeterminado: cada 5 minutos. <a href=""http://crontab.guru/"" target=""_blank"">¿Necesita ayuda?</a>"
"Diners Club","Diners Club"
"Enable Module","Habilitar módulo"
"Enable Saved Payment (Vault)","Habilitar pago guardado (almacén)"
"Enable Vault for Card Payments","Habilitar almacén para pagos con tarjeta"
"ending","finalizando"
"Environment Mode","Modo de entorno"
"expires","vence"
"Fallback Timeout Limit","Límite de tiempo de espera de reserva"
"Fallback Timeout","Tiempo de espera de reserva"
"Final Authorization","Autorización final"
"For extension support, please, visit the <a href=""%1"" target=""_blank"">support site</a>.","Para obtener ayuda sobre la extensión, visite el <a href=""%1"" target=""_blank"">sitio de asistencia técnica</a>."
"General Information","Información general"
"General","General"
"Go to Configuration > Technical information > API settings > Webhooks Configuration","Vaya a Configuración > Información técnica >  Parámetros API > Configuración de ganchos web"
"Hosted Checkout (Redirect to Worldline)","Finalización de la compra alojada"
"HTML Template ID","Id. de plantilla HTML"
