"<a href=""http://crontab.guru/"" target=""_blank"">Need help?</a>","<a href=""http://crontab.guru/"" target=""_blank"">¿Necesita ayuda?</a>"
"Abandoned Orders","Órdenes abandonadas"
"About Worldline","Acerca de Worldline"
"Activating this option allows the issuer of the customer card to request the 3-D Secure process to be triggered. This means that both the challenge flow (where strong customer authentication is needed) and the frictionless flow (where the issuing bank will take full liability) can be triggered.","La activación de esta opción permite al emisor de la tarjeta de cliente solicitar la activación del proceso 3-D Secure. Esto significa que tanto el flujo de desafío (donde se necesita una fuerte autenticación del cliente) como el flujo sin fricciones (donde el banco emisor asumirá toda la responsabilidad) pueden activarse."
"Activating this option will request the issuer to always go for a challenge flow during the 3-D Secure process.","Al activar esta opción, se solicitará al emisor que busque siempre un flujo de desafío durante el proceso de 3-D Secure."
"Activating this option will request to issuer not to request a strong customer authentication for the payment if the value of the basket is below 30 EUR. This exemption can only be requested for EU customers, as it is linked to the PSD2 European regulation. Note that activating this option will transfer the liability to you, as a merchant, in case of fraud.","Al activar esta opción, se solicitará al emisor que no solicite una autenticación fuerte del cliente para el pago si el valor de la cesta es inferior a 30 EUR. Esta exención solo se puede solicitar para clientes de la UE, ya que está ligada al reglamento europeo PSD2. Tenga en cuenta que la activación de esta opción le transferirá la responsabilidad a usted, como comerciante, en caso de fraude."
"All Allowed Countries","Todos los países permitidos"
"All Allowed Currencies","Todas las monedas permitidas"
"All Allowed Customer Groups","Todos los grupos de clientes permitidos"
"American Express","American Express"
"and perform the following steps:","y realice los siguientes pasos:"
"API Key","Clave de API"
"API Secret","Secreto de la API"
"Apply Surcharge","Aplicar Recargo"
"Are you sure you want to do this? All webhook data will be removed.","¿Seguro que quieres hacer esto? Se eliminarán todos los datos del webhook."
"Attention","Atención"
"Authorization Mode","Modo de autorización"
"Authorize & Capture","Autorizar y capturar"
"Authorize","Autorizar"
"Auto cancellation of orders that are stuck in the payment review status after the specified time. The time is in minutes.","Cancelación automática de pedidos que están atascados en el estado de revisión de pago después del tiempo especificado. El tiempo aparece en minutos."
"Available Credit Card Types","Tipos de tarjeta de crédito disponibles"
"Browse our API reference, our documentation and keep yourself up to date with the latest payment trends.","Consulte nuestra referencia API, nuestra documentación y manténgase al día de las últimas tendencias en materia de pagos."
"Carte Bancaire","Carte Bancaire"
"Check for updates","Buscar actualizaciones"
"Check out documentation","Consulte la documentación"
"Click on ""GENERATE WEBHOOKS API KEY""","Haga clic en ""GENERAR CLAVE DE API DE GANCHOS WEB"""
"Click on ""SAVE"" to confirm your settings","Haga clic en ""GUARDAR"" para confirmar su configuración"
"Click on the link to <a href=""%1"">ignore this notification</a>","Haga clic en el enlace para <a href=""%1"">ignorar esta notificación</a>"
"Code eci: %1","Código eci: %1"
"Company Name","El nombre de tu compañía"
