"<a href=""http://crontab.guru/"" target=""_blank"">Need help?</a>","<a href=""http://crontab.guru/"" target=""_blank"">Vous avez besoin d’aide?</a>"
"Abandoned Orders","Commandes abandonnées"
"About Worldline","À propos de Worldline"
"Activating this option allows the issuer of the customer card to request the 3-D Secure process to be triggered. This means that both the challenge flow (where strong customer authentication is needed) and the frictionless flow (where the issuing bank will take full liability) can be triggered.","L’activation de cette option va permettre à l'émetteur de la carte du client de demander que le processus 3-D Secure soit initié. Cela signifie qu'à la fois les flux “challenge” (où une authentification forte du client est nécessaire) et “frictionless” (où la banque émettrice assume l’entière responsabilité de la transaction) peuvent être déclenchés."
"Activating this option will request the issuer to always go for a challenge flow during the 3-D Secure process.","L’activation de cette option va demander à l'émetteur de carte de toujours déclencher un flux “challenge” lors du processus 3-D Secure."
"Activating this option will request to issuer not to request a strong customer authentication for the payment if the value of the basket is below 30 EUR. This exemption can only be requested for EU customers, as it is linked to the PSD2 European regulation. Note that activating this option will transfer the liability to you, as a merchant, in case of fraud.","L’activation de cette option va demander à l'émetteur de carte de ne pas demander d’authentification forte pour le paiement si la valeur totale du panier est inférieure à 30 EUR. Cette exemption ne peut être demandée que pour les clients de l’Union Européenne, celle-ci étant liée au règlement européen DSP2. Veuillez également noter que l’activation de cette option va vous attribuer la responsabilité de la transaction, en tant que marchand, en cas de fraude."
"All Allowed Countries","Tous les pays autorisés"
"All Allowed Currencies","Toutes les devises autorisées"
"All Allowed Customer Groups","Tous les groupes de clients autorisés"
"American Express","American Express"
"and perform the following steps:","et procédez comme suit:"
"API Key","Clé d’API"
"API Secret","Secret d’API"
"Apply Surcharge","Appliquer un supplément"
"Are you sure you want to do this? All webhook data will be removed.","Es-tu sûr de vouloir faire ça? Toutes les données du webhook seront supprimées."
"Attention","Attention"
"Authorization Mode","Mode d’autorisation"
"Authorize & Capture","Autoriser et encaisser"
"Authorize","Autoriser"
"Auto cancellation of orders that are stuck in the payment review status after the specified time. The time is in minutes.","Annulation automatique des commandes qui sont bloquées dans l’état d’examen des paiements après la période spécifiée. La durée est exprimée en minutes."
"Available Credit Card Types","Types de cartes de crédit disponibles"
"Browse our API reference, our documentation and keep yourself up to date with the latest payment trends.","Parcourez notre référence API, notre documentation et tenez-vous au courant des dernières tendances en matière de paiement."
"Card number is required","Card number is required123321"
"Carte Bancaire","Carte bancaire"
"Check for updates","Vérifier les mises à jour"
"Check out documentation","Consultez la documentation"
"Click on ""GENERATE WEBHOOKS API KEY""","Cliquez sur ""GÉNÉRER LA CLÉ D’API DES WEBHOOKS""."
"Click on ""SAVE"" to confirm your settings","Cliquez sur ""NREGISTRER"" pour confirmer vos modifications."
"Click on the link to <a href=""%1"">ignore this notification</a>","Cliquez sur le lien pour <a href=""%1"">ignorer cette notification</a>"
"Code eci: %1","Code eci : %1"
"Company Name","Le nom de votre société"
"Company Name","Le nom de votre société"
"Connection failed! Test again?","Échec de la connexion. Tester à nouveau ?"
"Connection","Lien"
"Contact our sales team","Contactez notre équipe de vente"
"Copy & Paste the WebhooksKeySecret immediately","Copiez et collez immédiatement WebhooksKeySecret."
"Create a test account","Créer un compte de test"
"Credit Cards (iFrame)","Carte de crédit"
"Custom Return URL","URL de renvoi personnalisée"
"Debug","Débogage"
"Debug","Déboguer"
"Default Order Status","Statut de commande par défaut"
"Default value: every 5 minutes. <a href=""http://crontab.guru/"" target=""_blank"">Need help?</a>","Valeur par défaut: toutes les 5 minutes. <a href=""http://crontab.guru/"" target=""_blank"">Vous avez besoin d’aide?</a>"
"Diners Club","Diners Club"
"Enable 3-D Secure Authentication","Activer l'authentification 3-D Secure"
"Enable Module","Activer le module"
"Enable Payment","Activer le paiment"
"Enable Saved Payment (Vault)","Activer le paiement enregistré (coffre-fort)"
"Enable Vault for Card Payments","Activer le coffre-fort pour les paiements par carte"
"Enabling this option will make sure the customer performs a “Strong Customer Authentication” and hence enforces a “challenge” 3DS flow.","Activer cette option permettra de s’assurer que le client opère une Strong Customer Authentication et effectue donc un flux 3DS “challenge”."
"ending","fin"
"Enforce Strong Customer Authentication for Every Payment","Appliquer une authentification client forte pour chaque paiement"
"Environment Mode","Mode Environnement"
"expires","expire"
"Fallback Timeout Limit","Limite de délai de secours"
"Fallback Timeout","Délai de secours"
"Final Authorization","Autorisation finale"
"For extension support, please, visit the <a href=""%1"" target=""_blank"">support site</a>.","Pour la prise en charge de l’extension, consultez le <a href=""%1"" target=""_blank"">site de l’assistance</a>."
"Fraud Information","Informations sur la fraude"
"General Information","Informations générales"
"General","Général"
"Get in touch","Nous contacter"
"Get surcharge amount","Obtenir le montant du supplément"
"Go to Configuration > Technical information > API settings > Webhooks Configuration","Accédez à Configuration Informations techniques > Paramètres API > Configuration des webhooks"
"Hosted Checkout (Redirect to Worldline)","Paiement hébergé"
"HTML Template ID","ID de modèle HTML"
"If the payment process is failed, change the order status after the specified time in ""Fallback Timeout"" till the value specified in this field.<br/>In other words, the request will be executed during the specified time limit.","En cas d’échec du processus de paiement, modifiez la valeur d’état de la commande après la période spécifiée dans ""Délai de secours"" pour la faire correspondre à celle indiquée dans ce champ.<br/>En d’autres termes, la demande sera exécutée au cours de la période spécifiée."
"If the payment process is failed, change the order status after the specified time.","En cas d’échec du processus de paiement, modifiez la valeur d’état de la commande après la période spécifiée."
"If the setting is enabled and the sum of the order is below 30 euros, the customer won’t be asked to go through 3DS auth.","Si ce paramètre est activé et que le montant de la commande est inférieur à 30 euros, le client ne sera pas invité à passer par l'authentification 3DS."
"If you want to leave any feature suggestions, feel free to fill in the form.","Si vous souhaitez proposer une nouvelle fonctionnalité, n'hésitez pas à remplir le formulaire !"
"If you would like to propose a new feature, feel free to fill in the form.","Si vous souhaitez proposer une nouvelle fonctionnalité, n'hésitez pas à remplir le formulaire."
"In ""Endpoints URLs"", paste the Webhooks URL of your store - see below","Dans ""URL des points de terminaison"", collez l’URL des webhooks de votre magasin (voir ci-dessous)."
"Increase conversion rates by offering your customers their preferred methods of payment. Implement the best payment solutions quickly, while addressing key needs such as fraud prevention, data analytics, security, and compliance, whether local or cross-border.","Augmentez les taux de conversion en proposant à vos clients leurs modes de paiement préférés. Mettez rapidement en œuvre les meilleures solutions de paiement, tout en répondant aux besoins essentiels tels que la prévention des fraudes, l'analyse des données, la sécurité et la conformité, que ce soit au niveau local ou transfrontalier."
"JCB","JCB"
"Key","Clé"
"label","étiquette"
"Maestro","Maestro"
"Magento Version","Version de Magento"
"Mastercard","Mastercard"
"Maximum Order Total","Total de commande maximum"
"Merchant ID (PSPID)","ID du commerçant (PSPID)"
"Message","Message"
"Message","Message"
"Minimum Order Total","Total de commande minimum"
"No authorization transaction to proceed capture.","Aucune transaction d’autorisation pour procéder à l’encaissement."
"No payment method","Pas de mode de paiement"
"No public_hash provided","Aucun public_hash fourni"
"No","Non"
"Not AJAX","Non AJAX"
"Order %1 - Check the payment","Commande XXXX - Vérifier le paiement"
"Order processed successfully by webhook. WorldLine status: %1.","Commande traitée avec succès par le webhook. Statut Worldline : %1."
"Order Status Updater","Outil de mise à jour de l’état des commandes"
"Payment Action","Action de paiement"
"Payment from Applicable Countries","Paiement à partir de pays applicables"
"Payment from Applicable Currencies","Paiement à partir de devises applicables"
"Payment from Applicable Customer Groups","Paiement à partir de groupes de clients applicables"
"Payment from Specific Countries","Paiement à partir de pays spécifiques"
"Payment from Specific Currencies","Paiement à partir de devises spécifiques"
"Payment from Specific Customer Groups","Paiement à partir de groupes de clients spécifiques"
"Payment Methods","Modes de paiement"
"Place Order","Passer la commande"
"Please <a href=""%1"">Contact us</a> in case you don\'t receive the confirmation within %2 minutes.","N'hésitez pas à <a href=""%1"">nous contacter</a> si vous ne recevez pas cet email dans les %2 prochaines minutes."
"Please correct the sent data.","Veuillez corriger les données envoyées."
"Please explain how our payment plugin can be further improved","Veuillez expliquer comment notre plugin de paiement peut encore être amélioré"
"Please note that 3-D Secure and PWA settings can now be <a href=""%1"">configured globally</a> for all Worldline payment methods. Feel free to review these if needed.","Veuillez noter que la configuration du 3-D Secure peut être effectuée <a href=""%1"">globalement pour tous</a> les modes de paiement Worldline. N’hésitez pas à les consulter au besoin."
"Please note that a surcharge may be added to the amount you have to pay depending on the payment method you have chosen.","Veuillez noter qu’un coût supplémentaire peut être appliqué au montant que vous devez payer selon le moyen de paiement que vous avez choisi."
"Please use one of the following extensions : html, htm, dhtml","Veuillez utiliser une des extensions suivantes : html, htm, dhtml"
"Please wait, the payment is being processed...","Merci de patienter pendant que nous traitons votre paiement..."
"Please, <a href=""%1"">click here</a> to proceed.","Veuillez <a href=""%1"">cliquer ici</a> pour continuer."
"Plugin Version","Version du plugin"
"Pre-Authorization","Pré-autorisation"
"Production API URL","URL de l’API de production"
"Production","Production"
"Request 3DS Exemption","Demander une dérogation 3DS"
"Request a new feature","Proposer une nouvelle fonctionnalité"
"Request Authentication Exemption for Low-value Baskets","Demander une dispense d'authentification pour les paniers de faible valeur"
"Required parameter ""worldline"" for ""payment_method"" is missing.","Le paramètre obligatoire ""worldline"" pour ""payment_method"" est manquant."
"Saved Payment Sort order","Ordre de tri des paiements enregistrés"
"Saved Payment Title","Titre du paiement enregistré"
"Schedule (Cron Syntax)","Calendrier (syntaxe cron)"
"Secret Key","Clé secrète"
"Should be set only if you use PWA Studio or any other 3rd party frontend.","Doit être défini uniquement si vous utilisez PWA Studio ou un autre frontend tiers."
"Skip 3DSecure Authentication","Ignorer l’authentification 3DSecure"
"Skip 3DSecure Authentication","Ignorer l’authentification 3DSecure"
"Sorry, but something went wrong","Désolé, une erreur s’est produite"
"Sort","Trier"
"Specific Countries","Pays spécifiques"
"Specific Currencies","Devises spécifiques"
"Specific Customer Groups","Groupes de clients spécifiques"
"Specify fallback timeout in minutes.","Indiquez le délai de secours en minutes."
"Specify fallback timeout limit in hours.","Indiquez le délai de secours en heures."
"Submit Customer Cart Items Data to Worldline","Soumettre les données des articles du panier client à Worldline"
"Submit","Nous faire parvenir"
"Submit","Nous faire parvenir"
"Successful! Test again?","Opération réussie. Tester à nouveau ?"
"Surcharging amount must not be less than zero.","Le montant de la surcharge ne doit pas être inférieur à zéro."
"Surcharging amount must not be more than remaining value.","Le montant de la surcharge ne doit pas être supérieur à la valeur restante."
