"<a href=""http://crontab.guru/"" target=""_blank"">Need help?</a>","<a href=""http://crontab.guru/"" target=""_blank"">Serve aiuto?</a>"
"Abandoned Orders","Ordini abbandonati"
"All Allowed Countries","Tutti i Paesi consentiti"
"All Allowed Currencies","Tutte le valute consentite"
"All Allowed Customer Groups","Tutti i gruppi di clienti consentiti"
"American Express","American Express"
"and perform the following steps:","e procedere come segue:"
"API Key","API Key (Chiave API)"
"API Secret","API Secret (Chiave segreta API)"
"Attention","Attenzione"
"Authorization Mode","Modalità di autorizzazione"
"Authorize & Capture","Autorizzare e acquisire"
"Authorize","Autorizzare"
"Auto cancellation of orders that are stuck in the payment review status after the specified time. The time is in minutes.","Storno automatico degli ordini bloccati nello stato di verifica del pagamento dopo il tempo specificato. Il tempo è espresso in minuti."
"Available Credit Card Types","Tipi di carte di credito disponibili"
"Carte Bancaire","Carte Bancaire (CB)"
"Click on ""GENERATE WEBHOOKS API KEY""","Fare clic su ""GENERA CHIAVE API WEBHOOK"""
"Click on ""SAVE"" to confirm your settings","Fare clic su ""SALVA"" per confermare le impostazioni"
"Code eci: %1","Codice eci: %1"
"Connection failed! Test again?","Connessione non riuscita! Provare di nuovo?"
"Connection","Connessione"
"Copy & Paste the WebhooksKeySecret immediately","Copiare e incollare subito la WebhooksKeySecret"
"Credit Cards (iFrame)","Carta di credito"
"Custom Return URL","URL restituito personalizzato"
"Debug","Debug"
"Debug","Debug"
"Default Order Status","Stato dell'ordine predefinito"
"Default value: every 5 minutes. <a href=""http://crontab.guru/"" target=""_blank"">Need help?</a>","Valore predefinito: ogni 5 minuti. <a href=""http://crontab.guru/"" target=""_blank"">Serve aiuto?</a>"
"Diners Club","Diners Club"
"Enable Module","Abilita il modulo"
"Enable Saved Payment (Vault)","Abilita il pagamento salvato (vault)"
"Enable Vault for Card Payments","Abilita vault per i pagamenti con carta"
"ending","che termina"
"Environment Mode","Modalità ambiente"
"expires","scade"
"Fallback Timeout Limit","Limite del timeout di fallback"
"Fallback Timeout","Timeout di fallback"
"Final Authorization","Autorizzazione finale"
"For extension support, please, visit the <a href=""%1"" target=""_blank"">support site</a>.","Per supporto sull'estensione, visitare il <a href=""%1"" target=""_blank"">sito dedicato all'assistenza</a>."
"General Information","Informazioni generali"
"General","Generale"
"Go to Configuration > Technical information > API settings > Webhooks Configuration","Andare su Configurazione > Informazioni tecniche > Impostazioni API > Configurazione webhook"
"Hosted Checkout (Redirect to Worldline)","Check-out in hosting"
"HTML Template ID","ID template HTML"
"If the payment process is failed, change the order status after the specified time in ""Fallback Timeout"" till the value specified in this field.<br/>In other words, the request will be executed during the specified time limit.","Se la procedura di pagamento non è riuscita, modificare lo stato dell'ordine dopo il tempo specificato in ""Timeout di fallback"" fino al valore specificato in questo campo.<br/>In altre parole, la richiesta verrà eseguita durante il limite di tempo specificato."
"If the payment process is failed, change the order status after the specified time.","Se la procedura di pagamento non è riuscita, modificare lo stato dell'ordine dopo il tempo specificato."
"In ""Endpoints URLs"", paste the Webhooks URL of your store - see below","In ""URL endpoint"", incollare l'URL webhook del proprio negozio - vedere si seguito"
"JCB","JCB"
"Key","Key (Chiave)"
"label","etichetta"
"Maestro","Maestro"
"Mastercard","Mastercard"
"Maximum Order Total","Totale ordine massimo"
"Merchant ID (PSPID)","ID Merchant (PSPID)"
"Minimum Order Total","Totale ordine minimo"
"No authorization transaction to proceed capture.","Nessuna transazione di autorizzazione per procedere alla acquisizione."
"No payment method","Nessuna modalità di pagamento"
"No public_hash provided","Nessun public_hash specificato"
"No","No"
"Not AJAX","Non AJAX"
"Order processed successfully by webhook. WorldLine status: %1.","Ordine elaborato con successo dal webhook. Stato di WorldLine: %1."
"Order Status Updater","Strumento di aggiornamento dello stato degli ordini"
"Payment Action","Azione di pagamento"
"Payment from Applicable Countries","Pagamento da paesi applicabili"
"Payment from Applicable Currencies","Pagamento da valute applicabili"
"Payment from Applicable Customer Groups","Pagamento da gruppi di clienti applicabili"
"Payment from Specific Countries","Pagamento da paesi specifici"
"Payment from Specific Currencies","Pagamento da valute specifiche"
"Payment from Specific Customer Groups","Pagamento da gruppi di clienti specifici"
"Payment Methods","Modalità di pagamento"
"Place Order","Effettua ordine"
"Please correct the sent data.","Correggere i dati inviati."
"Please, <a href=""%1"">click here</a> to proceed.","<a href=""%1"">Fare clic qui</a> per procedere."
"Pre-Authorization","Pre-autorizzazione"
"Production API URL","URL dell'API operativa"
"Production","Operativo"
"Required parameter ""worldline"" for ""payment_method"" is missing.","Il parametro ""worldline"" obbligatorio per ""modalità_di_pagamento"" non è presente."
"Saved Payment Sort order","Ordinamento di pagamento salvato"
"Saved Payment Title","Titolo di pagamento salvato"
"Schedule (Cron Syntax)","Pianificazione (sintassi cron)"
"Secret Key","Secret Key (Chiave segreta)"
"Should be set only if you use PWA Studio or any other 3rd party frontend.","Deve essere impostato se si usa PWA Studio o qualsiasi altro frontend di terzi."
"Skip 3DSecure Authentication","Salta l'autenticazione 3DSecure"
