"<a href=""http://crontab.guru/"" target=""_blank"">Need help?</a>","<a href=""http://crontab.guru/"" target=""_blank"">Serve aiuto?</a>"
"Abandoned Orders","Ordini abbandonati"
"About Worldline","A proposito di Worldline"
"Activating this option allows the issuer of the customer card to request the 3-D Secure process to be triggered. This means that both the challenge flow (where strong customer authentication is needed) and the frictionless flow (where the issuing bank will take full liability) can be triggered.","L'attivazione di questa opzione consente all'emittente della carta cliente di richiedere l'attivazione del processo 3-D Secure. Ciò significa che possono essere attivati sia il flusso di sfida (in cui è necessaria una forte autenticazione del cliente) che il flusso senza attriti (in cui la banca emittente si assumerà la piena responsabilità)."
"Activating this option will request the issuer to always go for a challenge flow during the 3-D Secure process.","L'attivazione di questa opzione richiederà all'emittente di eseguire sempre un flusso di verifica durante il processo 3-D Secure."
"Activating this option will request to issuer not to request a strong customer authentication for the payment if the value of the basket is below 30 EUR. This exemption can only be requested for EU customers, as it is linked to the PSD2 European regulation. Note that activating this option will transfer the liability to you, as a merchant, in case of fraud.","L'attivazione di questa opzione richiederà all'emittente di non richiedere una forte autenticazione del cliente per il pagamento se il valore del paniere è inferiore a 30 EUR. Questa esenzione può essere richiesta solo per i clienti UE, in quanto legata al regolamento europeo PSD2. Tieni presente che l'attivazione di questa opzione trasferirà la responsabilità a te, in qualità di commerciante, in caso di frode."
"All Allowed Countries","Tutti i Paesi consentiti"
"All Allowed Currencies","Tutte le valute consentite"
"All Allowed Customer Groups","Tutti i gruppi di clienti consentiti"
"American Express","American Express"
"and perform the following steps:","e procedere come segue:"
"API Key","API Key (Chiave API)"
"API Secret","API Secret (Chiave segreta API)"
"Apply Surcharge","Applicare Sovrapprezzo"
"Are you sure you want to do this? All webhook data will be removed.","Sei sicuro di volerlo fare? Tutti i dati del webhook verranno rimossi."
"Attention","Attenzione"
"Authorization Mode","Modalità di autorizzazione"
"Authorize & Capture","Autorizzare e acquisire"
"Authorize","Autorizzare"
"Auto cancellation of orders that are stuck in the payment review status after the specified time. The time is in minutes.","Storno automatico degli ordini bloccati nello stato di verifica del pagamento dopo il tempo specificato. Il tempo è espresso in minuti."
"Available Credit Card Types","Tipi di carte di credito disponibili"
"Browse our API reference, our documentation and keep yourself up to date with the latest payment trends.","Sfoglia il nostro riferimento API, la nostra documentazione e tieniti aggiornato sulle ultime tendenze di pagamento."
"Carte Bancaire","Carte Bancaire (CB)"
"Check for updates","Controlla aggiornamenti"
"Check out documentation","Consulta la documentazione"
"Click on ""GENERATE WEBHOOKS API KEY""","Fare clic su ""GENERA CHIAVE API WEBHOOK"""
"Click on ""SAVE"" to confirm your settings","Fare clic su ""SALVA"" per confermare le impostazioni"
"Click on the link to <a href=""%1"">ignore this notification</a>","Fare clic sul collegamento a <a href=""%1"">ignora questa notifica</a>"
"Code eci: %1","Codice eci: %1"
"Company Name","Il nome della tua azienda"
"Company Name","Il nome della tua azienda"
"Connection failed! Test again?","Connessione non riuscita! Provare di nuovo?"
"Connection","Connessione"
"Contact our sales team","Contatta il nostro team di vendita"
"Copy & Paste the WebhooksKeySecret immediately","Copiare e incollare subito la WebhooksKeySecret"
"Create a test account","Crea un account di prova"
"Credit Cards (iFrame)","Carta di credito"
"Custom Return URL","URL restituito personalizzato"
"Debug","Debug"
"Debug","Debug"
"Default Order Status","Stato dell'ordine predefinito"
"Default value: every 5 minutes. <a href=""http://crontab.guru/"" target=""_blank"">Need help?</a>","Valore predefinito: ogni 5 minuti. <a href=""http://crontab.guru/"" target=""_blank"">Serve aiuto?</a>"
"Diners Club","Diners Club"
"Enable 3-D Secure Authentication","Abilita l'autenticazione 3-D Secure"
"Enable Module","Abilita il modulo"
"Enable Payment","Abilita il pagamento"
"Enable Saved Payment (Vault)","Abilita il pagamento salvato (vault)"
"Enable Vault for Card Payments","Abilita vault per i pagamenti con carta"
"Enabling this option will make sure the customer performs a “Strong Customer Authentication” and hence enforces a “challenge” 3DS flow.","L'abilitazione di questa opzione assicurerà che il cliente esegua una „Strong Customer Authentication“ e quindi applichi un flusso 3DS di „challenge“."
"ending","che termina"
"Enforce Strong Customer Authentication for Every Payment","Applica l'autenticazione forte del cliente per ogni pagamento"
"Environment Mode","Modalità ambiente"
"expires","scade"
"Fallback Timeout Limit","Limite del timeout di fallback"
"Fallback Timeout","Timeout di fallback"
"Final Authorization","Autorizzazione finale"
"For extension support, please, visit the <a href=""%1"" target=""_blank"">support site</a>.","Per supporto sull'estensione, visitare il <a href=""%1"" target=""_blank"">sito dedicato all'assistenza</a>."
"Fraud Information","Informazioni sulle frodi"
"General Information","Informazioni generali"
"General","Generale"
"Get in touch","Mettiti in contatto"
"Get surcharge amount","Ottieni l'importo del supplemento"
"Go to Configuration > Technical information > API settings > Webhooks Configuration","Andare su Configurazione > Informazioni tecniche > Impostazioni API > Configurazione webhook"
"Hosted Checkout (Redirect to Worldline)","Check-out in hosting"
"HTML Template ID","ID template HTML"
